Quarter,Revenue,Cost Of Goods Sold,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Pre-Tax Income,Income Taxes,Income After Taxes,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS
12/31/2024,124300,66025,58275,8268,7175,15443,42832,42584,6254,36330,36330,45912,42832,15082,15151,2.41,2.4
9/30/2024,94930,51051,43879,7765,6523,14288,29591,29610,14874,14736,14736,32502,29591,15344,15408,0.99,0.97
6/30/2024,85777,46099,39678,8006,6320,14326,25352,25494,4046,21448,21448,28202,25352,15288,15348,1.4,1.4
3/31/2024,90753,48482,42271,7903,6468,14371,27900,28058,4422,23636,23636,30736,27900,15406,15465,1.53,1.53
12/31/2023,119575,64720,54855,7696,6786,14482,40373,40323,6407,33916,33916,43221,40373,15510,15577,2.19,2.18
9/30/2023,89498,49071,40427,7307,6151,13458,26969,26998,4042,22956,22956,29622,26969,15744,15813,1.47,1.47
6/30/2023,81797,45384,36413,7442,5973,13415,22998,22733,2852,19881,19881,26050,22998,15698,15775,1.27,1.26
3/31/2023,94836,52680,41976,7457,6201,13658,28318,28382,4222,24160,24160,31216,28318,15847,15847,1.53,1.52
12/31/2022,117154,66822,50332,7709,6607,14316,36016,35623,5625,29998,29998,38932,36016,15893,15956,1.89,1.88
9/30/2022,90146,52051,38095,6761,6440,13201,24894,24657,3936,20721,20721,27759,24894,16216,16326,1.3,1.29
6/30/2022,82959,47074,35885,6797,6012,12809,23076,23066,3624,19442,19442,25881,23076,16163,16262,1.2,1.2
3/31/2022,97278,54719,42559,6387,6193,12580,29979,30139,5129,25010,25010,32716,29979,16279,16403,1.54,1.52
12/31/2021,123945,69702,54243,6306,6449,12755,41488,41241,6611,34630,34630,44185,41488,16392,16519,2.11,2.1
9/30/2021,83360,48186,35174,5772,5616,11388,23786,23248,2697,20551,20551,26775,23786,16701,16865,1.25,1.23
6/30/2021,81434,46179,35255,5717,5412,11129,24126,24369,2625,21744,21744,26958,24126,16629,16782,1.31,1.3
3/31/2021,89584,51503,38079,5262,5314,10576,27503,28011,4381,23630,23630,30300,27503,16929,16929,1.4,1.4
12/31/2020,111439,67111,44328,5163,5631,10794,33534,33579,4824,28755,28755,36200,33534,16935,17528,1.7,1.68
9/30/2020,64698,40009,24689,4978,4936,9914,14775,14901,2228,12673,12673,17477,14775,17352,17419,0.76,0.74
6/30/2020,59685,37005,22680,4758,4831,9589,13091,13137,1884,11253,11253,15843,13091,17250,17419,0.65,0.65
3/31/2020,58313,35943,22370,4565,4952,9517,12853,13135,1886,11249,11249,15639,12853,17440,17619,0.64,0.64
12/31/2019,91819,56602,35217,4451,5197,9648,25569,25918,3682,22236,22236,28385,25569,17660,17818,1.26,1.25
9/30/2019,64040,39727,24313,4110,4578,8688,15625,16127,2441,13686,13686,18804,15625,18471,18596,0.77,0.77
6/30/2019,53809,33582,20227,4257,4426,8683,11544,11911,1867,10044,10044,14477,11544,18283,18406,0.55,0.55
3/31/2019,58015,36361,21821,3948,4458,8406,13415,13793,2232,11561,11561,16455,13415,18698,18698,0.62,0.61
12/31/2018,84310,52279,32031,3902,4783,8685,23346,23906,3941,19965,19965,26741,23346,18943,19093,1.05,1.04
9/30/2018,62900,38816,24084,3750,4216,7966,16118,16421,2296,14125,14125,18872,16118,19822,20000,0.74,0.74
6/30/2018,53265,32844,20421,3701,4108,7809,12612,13284,1765,11519,11519,15277,12612,19529,19706,0.59,0.58
3/31/2018,61137,37715,23422,3378,4150,7528,15894,16168,2346,13822,13822,18633,15894,20100,20274,0.69,0.68
12/31/2017,88293,54381,33912,3407,4231,7638,26274,27030,6965,20065,20065,29019,26274,20452,20631,0.98,0.97
9/30/2017,52579,32648,19931,2997,3814,6811,13120,13917,3203,10714,10714,15604,13120,20869,21007,0.53,0.52
6/30/2017,45408,27920,17488,2937,3783,6720,10768,11308,2591,8717,8717,13122,10768,20780,20934,0.42,0.42
3/31/2017,52896,32305,20591,2776,3718,6494,14097,14684,3655,11029,11029,16429,14097,20905,21047,0.53,0.53
12/31/2016,78351,48175,30176,2871,3946,6817,23359,24180,6289,17891,17891,26346,23359,21195,21312,0.84,0.84
9/30/2016,46852,29039,17813,2570,3482,6052,11761,12188,3174,9014,9014,14309,11761,21883,22001,0.43,0.43
6/30/2016,42358,26252,16106,2560,3441,6001,10105,10469,2673,7796,7796,12631,10105,21772,21891,0.36,0.35
3/31/2016,50557,30636,19921,2511,3423,5934,13987,14142,3626,10516,10516,16464,13987,22058,22164,0.48,0.47
12/31/2015,75872,45449,30423,2404,3848,6252,24171,24573,6212,18361,18361,27125,24171,22236,22377,0.82,0.82
9/30/2015,51501,30953,20548,2220,3705,5925,14623,15062,3938,11124,11124,17742,14623,23014,23172,0.5,0.49
6/30/2015,49605,29924,19681,2034,3564,5598,14083,14473,3796,10677,10677,17167,14083,22920,23092,0.47,0.46
3/31/2015,58010,34359,23656,1960,3460,5378,18278,18564,4995,13569,13569,20757,18278,23336,23339,0.58,0.58
